date,open,high,low,close,volume,amount,price_type
2018-07-20,32.050,38.460,32.050,38.460,576.000,,raw
2018-07-23,42.310,42.310,42.310,42.310,305.000,,raw
2018-07-24,46.540,46.540,46.540,46.540,495.000,,raw
2018-07-25,51.190,51.190,51.190,51.190,1302.000,,raw
2018-07-26,56.310,56.310,56.310,56.310,2207.000,,raw
2018-07-27,61.940,61.940,61.940,61.940,3530.000,,raw
2018-07-30,68.130,68.130,68.130,68.130,7310.000,,raw
2018-07-31,74.940,74.940,61.320,61.320,366665.000,,raw
2018-08-01,59.000,59.510,56.710,58.660,278768.000,,raw
2018-08-02,57.500,58.360,54.180,55.550,202563.000,,raw
2018-08-03,55.080,55.720,51.590,51.690,177093.000,,raw
2018-08-06,50.560,50.600,47.660,47.710,155238.000,,raw
2018-08-07,48.490,49.280,47.660,48.960,149411.000,,raw
2018-08-08,48.330,48.330,44.130,44.250,181082.000,,raw
2018-08-09,43.880,48.220,43.200,46.260,170721.000,,raw
2018-08-10,45.400,47.800,45.280,47.090,141225.000,,raw
2018-08-13,46.000,51.800,45.500,50.740,253879.000,,raw
2018-08-14,49.000,50.310,48.600,49.500,178246.000,,raw
2018-08-15,49.550,51.200,48.810,49.250,142218.000,,raw
2018-08-16,48.000,51.570,46.270,50.430,198305.000,,raw
2018-08-17,50.660,51.090,47.480,47.590,150525.000,,raw
2018-08-20,46.490,49.890,46.280,49.720,128308.000,,raw
2018-08-21,49.790,51.420,48.500,50.140,154524.000,,raw
2018-08-22,49.670,49.960,47.630,47.770,115320.000,,raw
2018-08-23,47.830,49.860,47.810,49.360,122048.000,,raw
2018-08-24,48.700,49.950,48.200,48.650,97608.000,,raw
2018-08-27,49.600,52.800,49.280,51.610,193026.000,,raw
2018-08-28,51.760,54.020,51.560,52.090,192360.000,,raw
2018-08-29,52.000,53.410,50.870,53.410,141787.000,,raw
2018-08-30,53.600,53.790,51.910,52.660,130179.000,,raw
2018-08-31,52.500,53.360,50.740,50.900,130176.000,,raw
2018-09-03,50.090,50.550,47.100,48.940,124728.000,,raw
2018-09-04,48.790,49.770,47.900,49.080,98694.000,,raw
2018-09-05,49.060,50.700,48.400,49.230,124436.000,,raw
2018-09-06,48.580,49.990,47.770,49.210,102278.000,,raw
2018-09-07,49.010,50.300,47.400,47.560,121837.000,,raw
2018-09-10,47.110,47.550,44.790,44.910,101908.000,,raw
2018-09-11,45.110,46.270,44.700,45.660,66499.000,,raw
2018-09-12,45.860,46.190,45.000,45.530,59967.000,,raw
2018-09-13,46.360,47.190,45.720,46.790,93375.000,,raw
2018-09-14,46.780,46.780,44.600,44.980,80040.000,,raw
2018-09-17,44.500,44.500,43.580,43.900,49529.000,,raw
2018-09-18,43.550,45.080,43.360,44.990,60483.000,,raw
2018-09-19,44.770,46.100,44.180,45.340,76262.000,,raw
2018-09-20,45.210,45.960,44.610,44.620,54682.000,,raw
2018-09-21,44.650,45.880,44.220,45.610,70429.000,,raw
2018-09-25,44.980,45.790,44.860,45.250,46435.000,,raw
2018-09-26,45.270,45.860,45.250,45.590,61186.000,,raw
2018-09-27,45.590,45.590,43.700,43.700,76004.000,,raw
2018-09-28,43.930,44.380,43.910,44.070,34810.000,,raw
2018-10-08,42.490,42.500,39.800,40.090,70814.000,,raw
2018-10-09,40.190,40.750,39.630,39.880,40334.000,,raw
2018-10-10,40.000,40.350,39.530,40.200,35845.000,,raw
2018-10-11,37.510,38.190,36.180,36.180,70397.000,,raw
2018-10-12,35.500,35.800,33.700,35.480,68044.000,,raw
2018-10-15,35.710,36.860,35.460,35.510,51708.000,,raw
2018-10-16,35.620,35.960,34.650,35.750,49136.000,,raw
2018-10-17,36.660,36.820,35.250,36.400,50812.000,,raw
2018-10-18,35.990,35.990,34.610,34.780,43576.000,,raw
2018-10-19,33.800,35.970,33.550,35.840,54265.000,,raw
2018-10-22,35.900,38.570,35.900,38.140,90832.000,,raw
2018-10-23,37.860,37.920,36.450,36.640,68263.000,,raw
2018-10-24,36.180,37.100,36.110,36.220,41598.000,,raw
2018-10-25,34.300,35.360,34.030,35.110,53730.000,,raw
2018-10-26,35.640,37.880,35.380,37.400,99836.000,,raw
2018-10-29,36.970,37.300,36.140,36.350,56267.000,,raw
2018-10-30,36.100,36.860,34.910,36.470,61080.000,,raw
2018-10-31,36.650,37.470,36.640,37.050,68033.000,,raw
2018-11-01,37.360,38.450,37.050,37.470,90542.000,,raw
