date,open,high,low,close,volume,amount,price_type
2025-01-02,11.370,11.500,10.950,11.060,106022.000,,raw
2025-01-03,11.160,11.170,10.670,10.700,107887.000,,raw
2025-01-06,10.700,10.940,10.540,10.860,99635.000,,raw
2025-01-07,10.890,11.080,10.800,11.080,80635.000,,raw
2025-01-08,11.000,11.130,10.680,11.010,91638.000,,raw
2025-01-09,10.950,11.140,10.920,11.060,76072.000,,raw
2025-01-10,11.130,11.930,11.030,11.360,288172.000,,raw
2025-01-13,11.070,11.560,10.840,11.210,197101.000,,raw
2025-01-14,11.140,11.720,11.140,11.720,226967.000,,raw
2025-01-15,11.690,11.700,11.460,11.490,135863.000,,raw
2025-01-16,11.590,11.820,11.460,11.590,150762.000,,raw
2025-01-17,11.500,11.640,11.400,11.400,97553.000,,raw
2025-01-20,11.490,11.580,11.410,11.530,104484.000,,raw
2025-01-21,11.600,11.630,11.330,11.600,100001.000,,raw
2025-01-22,11.580,11.840,11.380,11.470,117983.000,,raw
2025-01-23,11.540,11.780,11.490,11.490,146771.000,,raw
2025-01-24,11.600,11.740,11.500,11.680,144536.000,,raw
2025-01-27,11.750,11.820,11.460,11.460,101230.000,,raw
2025-02-05,11.530,11.660,11.440,11.630,107338.000,,raw
2025-02-06,11.620,12.700,11.560,12.540,362794.000,,raw
2025-02-07,12.800,13.290,12.510,12.920,674108.000,,raw
2025-02-10,12.920,14.210,12.680,13.770,766753.000,,raw
2025-02-11,13.490,13.490,12.960,12.970,579475.000,,raw
2025-02-12,12.900,13.150,12.740,13.110,361388.000,,raw
2025-02-13,13.120,13.130,12.710,12.720,287423.000,,raw
2025-02-14,12.690,13.130,12.640,12.980,310614.000,,raw
2025-02-17,12.980,13.270,12.850,13.040,305394.000,,raw
2025-02-18,12.960,13.070,12.600,12.650,274417.000,,raw
2025-02-19,12.600,13.080,12.600,13.030,288367.000,,raw
2025-02-20,13.020,13.270,12.980,13.190,376259.000,,raw
2025-02-21,13.150,13.220,12.990,13.120,291716.000,,raw
2025-02-24,13.030,13.150,12.780,13.040,208775.000,,raw
2025-02-25,12.900,13.500,12.800,13.320,469168.000,,raw
2025-02-26,13.260,13.440,13.200,13.300,302036.000,,raw
2025-02-27,13.220,13.450,12.930,13.160,259352.000,,raw
2025-02-28,13.350,13.480,12.790,12.800,353001.000,,raw
2025-03-03,12.800,13.100,12.680,12.930,201950.000,,raw
2025-03-04,12.750,13.130,12.670,13.060,194462.000,,raw
2025-03-05,12.970,13.170,12.820,13.000,170419.000,,raw
2025-03-06,13.070,13.200,13.030,13.090,220405.000,,raw
2025-03-07,13.110,13.400,13.020,13.250,312602.000,,raw
2025-03-10,13.410,13.450,13.100,13.200,184264.000,,raw
2025-03-11,12.860,13.130,12.850,13.030,165554.000,,raw
2025-03-12,13.120,13.250,13.040,13.080,156776.000,,raw
2025-03-13,12.970,13.680,12.880,13.390,487416.000,,raw
2025-03-14,13.120,13.600,12.950,13.560,503333.000,,raw
2025-03-17,13.550,13.680,13.410,13.560,274528.000,,raw
2025-03-18,13.610,13.700,13.440,13.540,239483.000,,raw
2025-03-19,13.500,14.090,13.360,13.950,542672.000,,raw
2025-03-20,13.820,14.600,13.750,14.280,581391.000,,raw
2025-03-21,14.160,14.180,13.420,13.460,448021.000,,raw
2025-03-24,13.330,13.460,12.510,12.930,345321.000,,raw
2025-03-25,12.850,13.240,12.660,12.710,223711.000,,raw
2025-03-26,12.680,13.130,12.630,12.940,204574.000,,raw
2025-03-27,12.880,12.900,12.500,12.510,209850.000,,raw
2025-03-28,12.500,12.780,12.360,12.550,188145.000,,raw
2025-03-31,12.540,12.580,11.950,12.170,193818.000,,raw
2025-04-01,12.200,12.400,12.110,12.170,118175.000,,raw
2025-04-02,12.090,12.220,11.880,12.060,118386.000,,raw
2025-04-03,11.880,12.070,11.710,11.770,134194.000,,raw
2025-04-07,10.980,11.000,10.590,10.590,127122.000,,raw
2025-04-08,10.200,10.510,9.560,9.940,281049.000,,raw
2025-04-09,9.610,10.190,9.020,10.140,227214.000,,raw
2025-04-10,10.390,10.630,10.340,10.410,181997.000,,raw
2025-04-11,10.210,10.590,10.210,10.480,108211.000,,raw
2025-04-14,10.690,10.890,10.690,10.800,138480.000,,raw
2025-04-15,10.810,10.900,10.660,10.730,86712.000,,raw
2025-04-16,10.750,10.760,10.370,10.520,97883.000,,raw
2025-04-17,10.400,10.600,10.400,10.400,74680.000,,raw
2025-04-18,10.410,10.480,10.270,10.430,72758.000,,raw
2025-04-21,10.430,10.700,10.390,10.690,80724.000,,raw
2025-04-22,10.790,11.160,10.700,10.920,151481.000,,raw
2025-04-23,12.010,12.010,12.010,12.010,79280.000,,raw
2025-04-24,12.490,12.490,11.460,11.500,379388.000,,raw
2025-04-25,11.510,11.730,11.480,11.510,185584.000,,raw
2025-04-28,11.440,11.500,11.220,11.260,123471.000,,raw
2025-04-29,11.310,11.490,11.290,11.360,127212.000,,raw
2025-04-30,11.350,11.680,11.330,11.590,157509.000,,raw
2025-05-06,11.670,12.470,11.600,12.320,313534.000,,raw
2025-05-07,12.280,13.000,12.160,12.390,470889.000,,raw
2025-05-08,12.230,12.660,12.220,12.430,264279.000,,raw
2025-05-09,12.390,12.430,12.050,12.150,191205.000,,raw
2025-05-12,12.250,12.350,12.170,12.220,113023.000,,raw
2025-05-13,12.410,13.370,12.290,12.690,457908.000,,raw
2025-05-14,12.520,12.600,12.300,12.480,221656.000,,raw
2025-05-15,12.420,12.430,12.120,12.130,152169.000,,raw
2025-05-16,12.140,12.590,12.120,12.480,191811.000,,raw
2025-05-19,12.600,12.910,12.370,12.700,233779.000,,raw
2025-05-20,12.680,12.700,12.460,12.600,146359.000,,raw
2025-05-21,12.500,13.200,12.470,12.920,342777.000,,raw
2025-05-22,12.830,12.850,12.420,12.450,219612.000,,raw
2025-05-23,12.520,13.320,12.470,12.610,348446.000,,raw
2025-05-26,12.640,13.860,12.640,13.130,661797.000,,raw
2025-05-27,12.920,13.090,12.620,12.730,371341.000,"{'nd': '2024', 'fh_sh': '0.6', 'djr': '2025-05-26', 'cqr': '2025-05-27', 'FHcontent': '10派0.6元'}",raw
2025-05-28,13.120,13.380,12.730,12.770,358577.000,,raw
2025-05-29,12.720,13.330,12.720,13.270,477531.000,,raw
2025-05-30,13.030,13.100,12.570,12.600,365090.000,,raw
2025-06-03,12.490,12.510,12.300,12.330,210252.000,,raw
2025-06-04,12.450,12.470,12.230,12.270,149472.000,,raw
2025-06-05,12.270,12.400,12.080,12.350,152342.000,,raw
2025-06-06,12.360,12.360,11.950,12.020,192397.000,,raw
2025-06-09,12.050,12.110,11.970,12.040,119533.000,,raw
2025-06-10,12.060,12.150,11.660,11.790,175793.000,,raw
2025-06-11,12.040,12.300,11.910,12.080,262302.000,,raw
2025-06-12,11.940,12.180,11.820,12.130,199450.000,,raw
2025-06-13,12.010,12.010,11.650,11.650,175183.000,,raw
2025-06-16,11.520,11.850,11.470,11.710,89893.000,,raw
2025-06-17,11.710,12.200,11.700,12.100,255364.000,,raw
2025-06-18,12.000,12.000,11.770,11.880,125933.000,,raw
2025-06-19,11.660,11.840,11.420,11.480,174697.000,,raw
2025-06-20,11.400,11.570,11.350,11.420,86368.000,,raw
2025-06-23,11.330,11.600,11.300,11.580,69308.000,,raw
2025-06-24,12.740,12.740,12.740,12.740,165009.000,,raw
2025-06-25,14.010,14.010,13.780,14.010,1189247.000,,raw
2025-06-26,13.330,13.590,12.740,13.000,1130154.000,,raw
2025-06-27,13.750,14.000,13.110,13.110,895740.000,,raw
2025-06-30,12.960,13.210,12.800,13.120,600676.000,,raw
2025-07-01,13.080,13.110,12.700,12.840,418604.000,,raw
2025-07-02,12.720,12.840,12.530,12.620,254225.000,,raw
2025-07-03,12.610,12.760,12.510,12.710,269901.000,,raw
2025-07-04,12.600,12.650,12.370,12.460,244258.000,,raw
2025-07-07,12.410,12.480,12.350,12.480,132726.000,,raw
2025-07-08,12.510,12.640,12.430,12.600,196794.000,,raw
2025-07-09,12.630,12.910,12.560,12.680,361867.000,,raw
2025-07-10,12.680,12.690,12.450,12.550,229697.000,,raw
2025-07-11,12.520,12.630,12.410,12.580,218220.000,,raw
2025-07-14,12.680,12.680,12.510,12.530,142273.000,,raw
2025-07-15,12.400,12.490,12.160,12.290,209093.000,,raw
2025-07-16,12.320,12.750,12.250,12.650,303594.000,,raw
2025-07-17,12.680,12.750,12.570,12.720,211238.000,,raw
2025-07-18,12.720,12.830,12.580,12.780,216081.000,,raw
2025-07-21,12.800,13.140,12.760,13.040,317272.000,,raw
