date,open,high,low,close,volume,amount,price_type
2018-01-02,36.480,36.600,34.780,35.730,899607.000,,raw
2018-01-03,35.630,37.500,35.520,36.690,1391321.000,,raw
2018-01-04,36.370,36.950,35.880,36.900,948300.000,,raw
2018-01-05,36.700,36.780,35.870,36.040,760473.000,,raw
2018-01-08,36.000,36.020,34.920,35.570,1095769.000,,raw
2018-01-09,35.570,36.350,35.310,36.350,969156.000,,raw
2018-01-10,36.280,36.280,35.250,35.920,777371.000,,raw
2018-01-11,35.600,36.850,35.300,36.420,1112692.000,,raw
2018-01-12,36.190,36.280,35.610,35.820,646269.000,,raw
2018-01-15,35.710,37.320,35.030,36.410,1579330.000,,raw
2018-01-16,36.070,38.640,35.890,38.600,2073313.000,,raw
2018-01-17,38.900,38.900,36.600,36.980,1959538.000,,raw
2018-01-18,37.020,37.490,36.320,36.570,1032230.000,,raw
2018-01-19,36.570,37.360,36.370,36.490,797058.000,,raw
2018-01-22,36.500,36.610,35.100,36.430,1064079.000,,raw
2018-01-23,36.380,37.120,35.810,36.380,901600.000,,raw
2018-01-24,36.160,37.100,35.850,37.050,1123582.000,,raw
2018-01-25,36.940,36.940,36.030,36.060,795353.000,,raw
2018-01-26,35.700,36.040,35.000,35.000,1319820.000,,raw
2018-01-29,34.800,34.800,31.590,31.710,2322598.000,,raw
2018-01-30,31.220,31.940,30.680,31.100,1031760.000,,raw
2018-01-31,31.060,31.380,30.610,31.120,696402.000,,raw
2018-02-01,30.000,30.000,28.010,28.010,2050648.000,,raw
2018-02-02,29.000,29.360,28.500,28.820,1313932.000,,raw
2018-02-05,28.220,29.940,28.210,29.280,872541.000,,raw
2018-02-06,28.500,29.380,28.300,28.450,776433.000,,raw
2018-02-07,29.200,29.490,28.230,28.710,695313.000,,raw
2018-02-08,28.760,29.880,28.720,29.650,858400.000,,raw
2018-02-09,28.790,29.400,28.010,28.450,814982.000,,raw
2018-02-12,28.990,29.770,28.610,29.420,742885.000,,raw
2018-02-13,29.760,30.250,29.640,29.740,763613.000,,raw
2018-02-14,29.780,30.590,29.750,30.500,568732.000,,raw
2018-02-22,30.710,31.450,30.250,31.220,646542.000,,raw
2018-02-23,31.310,32.150,31.030,31.320,734002.000,,raw
2018-02-26,31.800,32.850,31.360,32.550,1181345.000,,raw
2018-02-27,33.000,33.100,32.210,32.370,909327.000,,raw
2018-02-28,31.970,32.670,31.630,32.240,698489.000,,raw
2018-03-01,31.930,32.680,31.850,32.350,583772.000,,raw
2018-03-02,32.020,32.500,31.500,31.520,594218.000,,raw
2018-03-05,31.800,32.380,31.680,32.150,492015.000,,raw
2018-03-06,32.300,33.680,32.300,33.300,1146695.000,,raw
2018-03-07,33.100,33.110,32.670,32.670,532887.000,,raw
2018-03-08,32.670,32.980,32.300,32.680,411377.000,,raw
2018-03-09,32.700,33.640,32.700,33.620,930709.000,,raw
2018-03-12,33.880,34.230,33.410,33.990,841626.000,,raw
